,Country,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,ph,hinabuyan,11.2383,124.4047,79.50559999999999,100,12,4.1
1,gr,kiprinos,41.5755556,26.230555600000002,46.74560000000001,59,0,2.15
2,gb,wakefield,53.7,-1.483333,40.94600000000005,100,75,1.5
3,mx,cuanajo,19.483333,-101.516667,79.17799999999997,41,40,5.1
4,bg,godec,43.015,23.044166699999998,41.26999999999996,75,0,1.5
5,cr,san isidro,9.977033,-84.007743,82.70600000000003,39,20,7.7
6,ru,levikha,57.583611,59.900278,11.420600000000011,70,8,1.05
7,us,washington,37.1305556,-113.5075,77.26999999999995,14,1,8.7
8,ru,pavlovskiy posad,55.780713,38.654475,34.06999999999996,95,90,4.0
9,il,tel mond,32.249947,34.917367999999996,63.859999999999985,77,0,1.5
10,af,jurm,36.864768,70.83420699999999,33.020600000000016,95,76,0.65
11,gr,grevena,40.0833333,21.4166667,38.19560000000001,74,0,1.05
12,co,boyaca,5.453715,-73.36249699999999,57.14059999999998,94,88,1.15
13,us,alpharetta,34.0752778,-84.2941667,80.85199999999998,3,1,4.1
14,de,hanover,52.366667,9.716667,47.01199999999996,81,75,2.6
15,ru,kalashnikovo,57.28236999999999,35.226172,36.440599999999975,92,76,6.3
16,ro,racaciuni,46.333333,26.983333000000002,44.86999999999996,70,20,1.5
17,ro,asuaju de sus,47.566666999999995,23.183332999999998,37.66999999999996,86,8,3.6
18,np,bharatpur,27.683333299999997,84.4333333,61.01060000000004,93,56,1.0
19,no,tvedestrand,58.624444,8.928611,28.66999999999996,86,0,2.1
20,tz,maposeni,-10.583333300000001,35.4,66.2306,99,92,1.05
21,de,lichtenfels,50.15,11.066667,41.75059999999995,78,64,3.25
22,no,vadso,70.07305600000001,29.769721999999998,28.561999999999955,79,0,6.7
23,si,straza,45.78,15.072777800000003,51.92599999999999,54,8,4.6
24,cz,jablonne nad orlici,50.030388,16.603926,41.26999999999996,65,0,2.6
25,cz,zelezny brod,50.645106,15.255258999999999,39.41060000000003,74,0,2.95
26,pf,tevaitoa,-16.783333300000002,-151.5,81.9806,100,56,6.1
27,br,murici,-9.316667,-35.933333000000005,79.06999999999996,83,20,3.1
28,ru,alekseyevsk,57.835,108.35611100000001,12.72559999999995,59,56,2.4
29,us,bryan,30.6741667,-96.36972220000001,81.35600000000002,69,75,2.6
30,pt,antas,41.736444,-8.308882,55.70600000000003,93,75,4.1
31,ar,villa constitucion,-33.227778,-60.329699,73.66999999999996,64,0,3.1
32,it,nonantola,44.683333000000005,11.033333,53.86999999999996,66,0,2.6
33,gb,annan,54.983332999999995,-3.266667,32.26999999999996,95,92,6.7
34,cz,pribram,49.691355,14.020575,42.530000000000044,60,0,2.6
35,ru,kashkhatau,43.318484000000005,43.60804,41.26999999999996,100,90,4.0
36,mx,nochistlan,21.366667,-102.85,84.46999999999997,8,5,7.2
37,es,santa cruz de tenerife,28.460238,-16.280616000000002,61.627999999999965,100,75,6.2
38,ro,visani,45.15,27.283333000000002,42.24560000000001,65,12,3.05
39,us,fitchburg,42.5833333,-71.80277779999999,41.917999999999985,45,20,2.1
40,ro,campulung,45.266667,25.05,35.67559999999995,63,0,1.7
41,ru,undory,54.60849,48.392756,32.26999999999996,86,20,5.0
42,za,mpophomeni,-29.568219,30.186182000000002,58.8056,100,36,1.15
43,cz,zidlochovice,49.038068,16.614826,42.008,71,0,1.5
44,ro,cobadin,44.083333,28.216666999999998,37.66999999999996,93,0,3.6
45,de,sulzbach,49.3,7.066667,53.86999999999996,50,88,4.6
46,jo,kafr yuba,32.541922,35.801895,62.86999999999996,36,24,1.5
47,be,lincent,50.716667,5.033333,52.08800000000005,66,75,7.2
48,ru,pechory,57.815034,27.607594,34.06999999999996,94,92,5.0
49,ne,ouallam,14.316666699999999,2.0833333,84.54560000000001,18,44,4.2
50,tj,ayni,39.3975,68.5405556,41.525599999999955,97,92,0.95
51,fr,trappes,48.774128999999995,2.017811,52.969999999999956,81,0,2.1
52,ph,busing,13.151389000000002,122.97138899999999,77.79560000000001,100,44,2.1
53,py,caacupe,-25.383333,-57.15,80.86999999999996,57,20,4.6
54,id,pakisaji,-8.0665,112.5981,69.92060000000001,94,44,0.9
55,gb,portadown,54.433333,-6.45,37.742,100,90,5.1
56,pt,nogueira da regedoura,41.005301,-8.591953,57.469999999999956,87,75,5.7
57,am,rind,39.7597222,45.18,48.469999999999956,70,20,5.1
58,ec,zamora,-4.0691667,-78.9566667,62.94560000000001,84,80,0.65
59,ph,santa maria,14.4719,121.4286,79.06999999999996,83,40,0.5
60,dk,kalundborg,55.681984,11.100425999999999,34.06999999999996,86,92,2.1
61,ph,talisay,10.7375,122.9666,71.63059999999999,94,20,1.6
62,cm,tchollire,8.4,14.166666699999999,80.67559999999995,41,0,1.8
63,hu,sellye,45.872468,17.84711,47.78059999999999,65,0,3.2
64,az,corat,40.5725,49.706389,48.469999999999956,93,0,6.2
65,ru,baltasi,56.3462,50.2062,30.410600000000034,92,44,5.85
